log_id,game_id,timestamp,category,type,turn,player,phase,card_target,card_source,card_count
1,036d8ffe-9248-4d5a-ad00-1cee7cabdf88,2025-04-13T06:50:36.299,game,GAME_START,,,,,,
2,,2025-04-13T06:50:37.037,turn,TURN_START,0,2,,,,
3,,2025-04-13T06:50:37.037,phase,PHASE_START,0,2,start,,,
4,,2025-04-13T06:50:37.037,phase,PHASE_END,0,2,start,,,
5,,2025-04-13T06:50:37.038,phase,PHASE_START,0,2,action,,,
6,,2025-04-13T06:50:37.05,phase,PHASE_END,0,2,action,,,
7,,2025-04-13T06:50:37.05,phase,PHASE_START,0,2,buy,,,
8,,2025-04-13T06:50:37.102,effect,CARD_PLAY,0,2,buy,Copper,,1
9,,2025-04-13T06:50:37.141,effect,CARD_PLAY,0,2,buy,Copper,,1
10,,2025-04-13T06:50:37.141,effect,CARD_PLAY,0,2,buy,Copper,,1
11,,2025-04-13T06:50:37.141,effect,CARD_PLAY,0,2,buy,Copper,,1
12,,2025-04-13T06:50:37.142,effect,CARD_PLAY,0,2,buy,Copper,,1
13,,2025-04-13T06:50:37.277,effect,CARD_BUY,0,2,buy,Laboratory,,1
14,,2025-04-13T06:50:37.317,phase,PHASE_END,0,2,buy,,,
15,,2025-04-13T06:50:37.318,phase,PHASE_START,0,2,cleanup,,,
16,,2025-04-13T06:50:37.318,phase,PHASE_END,0,2,cleanup,,,
17,,2025-04-13T06:50:37.358,turn,TURN_END,0,2,,,,
18,,2025-04-13T06:50:37.358,turn,TURN_START,1,3,,,,
19,,2025-04-13T06:50:37.359,phase,PHASE_START,1,3,start,,,
20,,2025-04-13T06:50:37.359,phase,PHASE_END,1,3,start,,,
21,,2025-04-13T06:50:37.359,phase,PHASE_START,1,3,action,,,
22,,2025-04-13T06:50:37.36,phase,PHASE_END,1,3,action,,,
23,,2025-04-13T06:50:37.36,phase,PHASE_START,1,3,buy,,,
24,,2025-04-13T06:50:37.361,effect,CARD_PLAY,1,3,buy,Copper,,1
25,,2025-04-13T06:50:37.361,effect,CARD_PLAY,1,3,buy,Copper,,1
26,,2025-04-13T06:50:37.362,effect,CARD_PLAY,1,3,buy,Copper,,1
27,,2025-04-13T06:50:37.362,effect,CARD_PLAY,1,3,buy,Copper,,1
28,,2025-04-13T06:50:37.362,effect,CARD_PLAY,1,3,buy,Copper,,1
29,,2025-04-13T06:50:37.363,effect,CARD_BUY,1,3,buy,Laboratory,,1
30,,2025-04-13T06:50:37.363,phase,PHASE_END,1,3,buy,,,
31,,2025-04-13T06:50:37.364,phase,PHASE_START,1,3,cleanup,,,
32,,2025-04-13T06:50:37.364,phase,PHASE_END,1,3,cleanup,,,
33,,2025-04-13T06:50:37.365,turn,TURN_END,1,3,,,,
34,,2025-04-13T06:50:37.366,turn,TURN_START,2,4,,,,
35,,2025-04-13T06:50:37.366,phase,PHASE_START,2,4,start,,,
36,,2025-04-13T06:50:37.367,phase,PHASE_END,2,4,start,,,
37,,2025-04-13T06:50:37.367,phase,PHASE_START,2,4,action,,,
38,,2025-04-13T06:50:37.368,phase,PHASE_END,2,4,action,,,
39,,2025-04-13T06:50:37.368,phase,PHASE_START,2,4,buy,,,
40,,2025-04-13T06:50:37.368,effect,CARD_PLAY,2,4,buy,Copper,,1
41,,2025-04-13T06:50:37.369,effect,CARD_PLAY,2,4,buy,Copper,,1
42,,2025-04-13T06:50:37.369,effect,CARD_PLAY,2,4,buy,Copper,,1
43,,2025-04-13T06:50:37.37,effect,CARD_PLAY,2,4,buy,Copper,,1
44,,2025-04-13T06:50:37.37,effect,CARD_PLAY,2,4,buy,Copper,,1
45,,2025-04-13T06:50:37.371,effect,CARD_BUY,2,4,buy,Laboratory,,1
46,,2025-04-13T06:50:37.371,phase,PHASE_END,2,4,buy,,,
47,,2025-04-13T06:50:37.372,phase,PHASE_START,2,4,cleanup,,,
48,,2025-04-13T06:50:37.372,phase,PHASE_END,2,4,cleanup,,,
49,,2025-04-13T06:50:37.373,turn,TURN_END,2,4,,,,
50,,2025-04-13T06:50:37.373,turn,TURN_START,3,1,,,,
51,,2025-04-13T06:50:37.373,phase,PHASE_START,3,1,start,,,
52,,2025-04-13T06:50:37.374,phase,PHASE_END,3,1,start,,,
53,,2025-04-13T06:50:37.374,phase,PHASE_START,3,1,action,,,
54,,2025-04-13T06:50:37.374,phase,PHASE_END,3,1,action,,,
55,,2025-04-13T06:50:37.375,phase,PHASE_START,3,1,buy,,,
56,,2025-04-13T06:50:37.375,effect,CARD_PLAY,3,1,buy,Copper,,1
57,,2025-04-13T06:50:37.376,effect,CARD_PLAY,3,1,buy,Copper,,1
58,,2025-04-13T06:50:37.376,effect,CARD_PLAY,3,1,buy,Copper,,1
59,,2025-04-13T06:50:37.377,effect,CARD_PLAY,3,1,buy,Copper,,1
60,,2025-04-13T06:50:37.377,effect,CARD_PLAY,3,1,buy,Copper,,1
61,,2025-04-13T06:50:37.378,effect,CARD_BUY,3,1,buy,Laboratory,,1
62,,2025-04-13T06:50:37.378,phase,PHASE_END,3,1,buy,,,
63,,2025-04-13T06:50:37.379,phase,PHASE_START,3,1,cleanup,,,
64,,2025-04-13T06:50:37.379,phase,PHASE_END,3,1,cleanup,,,
65,,2025-04-13T06:50:37.379,turn,TURN_END,3,1,,,,
66,,2025-04-13T06:50:37.38,turn,TURN_START,4,2,,,,
67,,2025-04-13T06:50:37.38,phase,PHASE_START,4,2,start,,,
68,,2025-04-13T06:50:37.381,phase,PHASE_END,4,2,start,,,
69,,2025-04-13T06:50:37.381,phase,PHASE_START,4,2,action,,,
70,,2025-04-13T06:50:37.382,phase,PHASE_END,4,2,action,,,
71,,2025-04-13T06:50:37.382,phase,PHASE_START,4,2,buy,,,
72,,2025-04-13T06:50:37.383,effect,CARD_PLAY,4,2,buy,Copper,,1
73,,2025-04-13T06:50:37.422,effect,CARD_PLAY,4,2,buy,Copper,,1
74,,2025-04-13T06:50:37.427,effect,CARD_BUY,4,2,buy,Copper,,1
75,,2025-04-13T06:50:37.427,phase,PHASE_END,4,2,buy,,,
76,,2025-04-13T06:50:37.428,phase,PHASE_START,4,2,cleanup,,,
77,,2025-04-13T06:50:37.428,phase,PHASE_END,4,2,cleanup,,,
78,,2025-04-13T06:50:37.434,turn,TURN_END,4,2,,,,
79,,2025-04-13T06:50:37.434,turn,TURN_START,5,3,,,,
80,,2025-04-13T06:50:37.435,phase,PHASE_START,5,3,start,,,
81,,2025-04-13T06:50:37.435,phase,PHASE_END,5,3,start,,,
82,,2025-04-13T06:50:37.435,phase,PHASE_START,5,3,action,,,
83,,2025-04-13T06:50:37.436,phase,PHASE_END,5,3,action,,,
84,,2025-04-13T06:50:37.436,phase,PHASE_START,5,3,buy,,,
85,,2025-04-13T06:50:37.437,effect,CARD_PLAY,5,3,buy,Copper,,1
86,,2025-04-13T06:50:37.437,effect,CARD_PLAY,5,3,buy,Copper,,1
87,,2025-04-13T06:50:37.438,effect,CARD_BUY,5,3,buy,Copper,,1
88,,2025-04-13T06:50:37.438,phase,PHASE_END,5,3,buy,,,
89,,2025-04-13T06:50:37.439,phase,PHASE_START,5,3,cleanup,,,
90,,2025-04-13T06:50:37.439,phase,PHASE_END,5,3,cleanup,,,
91,,2025-04-13T06:50:37.44,turn,TURN_END,5,3,,,,
92,,2025-04-13T06:50:37.44,turn,TURN_START,6,4,,,,
93,,2025-04-13T06:50:37.44,phase,PHASE_START,6,4,start,,,
94,,2025-04-13T06:50:37.441,phase,PHASE_END,6,4,start,,,
95,,2025-04-13T06:50:37.442,phase,PHASE_START,6,4,action,,,
96,,2025-04-13T06:50:37.442,phase,PHASE_END,6,4,action,,,
97,,2025-04-13T06:50:37.442,phase,PHASE_START,6,4,buy,,,
98,,2025-04-13T06:50:37.443,effect,CARD_PLAY,6,4,buy,Copper,,1
99,,2025-04-13T06:50:37.443,effect,CARD_PLAY,6,4,buy,Copper,,1
100,,2025-04-13T06:50:37.444,effect,CARD_BUY,6,4,buy,Copper,,1
101,,2025-04-13T06:50:37.444,phase,PHASE_END,6,4,buy,,,
102,,2025-04-13T06:50:37.445,phase,PHASE_START,6,4,cleanup,,,
103,,2025-04-13T06:50:37.446,phase,PHASE_END,6,4,cleanup,,,
104,,2025-04-13T06:50:37.446,turn,TURN_END,6,4,,,,
105,,2025-04-13T06:50:37.447,turn,TURN_START,7,1,,,,
106,,2025-04-13T06:50:37.447,phase,PHASE_START,7,1,start,,,
107,,2025-04-13T06:50:37.448,phase,PHASE_END,7,1,start,,,
108,,2025-04-13T06:50:37.448,phase,PHASE_START,7,1,action,,,
109,,2025-04-13T06:50:37.448,phase,PHASE_END,7,1,action,,,
110,,2025-04-13T06:50:37.449,phase,PHASE_START,7,1,buy,,,
111,,2025-04-13T06:50:37.449,effect,CARD_PLAY,7,1,buy,Copper,,1
112,,2025-04-13T06:50:37.45,effect,CARD_PLAY,7,1,buy,Copper,,1
113,,2025-04-13T06:50:37.45,effect,CARD_BUY,7,1,buy,Copper,,1
114,,2025-04-13T06:50:37.451,phase,PHASE_END,7,1,buy,,,
115,,2025-04-13T06:50:37.451,phase,PHASE_START,7,1,cleanup,,,
116,,2025-04-13T06:50:37.452,phase,PHASE_END,7,1,cleanup,,,
117,,2025-04-13T06:50:37.452,turn,TURN_END,7,1,,,,
118,,2025-04-13T06:50:37.453,turn,TURN_START,8,2,,,,
119,,2025-04-13T06:50:37.453,phase,PHASE_START,8,2,start,,,
120,,2025-04-13T06:50:37.453,phase,PHASE_END,8,2,start,,,
121,,2025-04-13T06:50:37.454,phase,PHASE_START,8,2,action,,,
122,,2025-04-13T06:50:37.454,phase,PHASE_END,8,2,action,,,
123,,2025-04-13T06:50:37.454,phase,PHASE_START,8,2,buy,,,
124,,2025-04-13T06:50:37.455,effect,CARD_PLAY,8,2,buy,Copper,,1
125,,2025-04-13T06:50:37.455,effect,CARD_PLAY,8,2,buy,Copper,,1
126,,2025-04-13T06:50:37.456,effect,CARD_PLAY,8,2,buy,Copper,,1
127,,2025-04-13T06:50:37.456,effect,CARD_PLAY,8,2,buy,Copper,,1
128,,2025-04-13T06:50:37.457,effect,CARD_BUY,8,2,buy,Copper,,1
129,,2025-04-13T06:50:37.494,phase,PHASE_END,8,2,buy,,,
130,,2025-04-13T06:50:37.494,phase,PHASE_START,8,2,cleanup,,,
131,,2025-04-13T06:50:37.496,phase,PHASE_END,8,2,cleanup,,,
132,,2025-04-13T06:50:37.534,turn,TURN_END,8,2,,,,
133,,2025-04-13T06:50:37.534,turn,TURN_START,9,3,,,,
134,,2025-04-13T06:50:37.534,phase,PHASE_START,9,3,start,,,
135,,2025-04-13T06:50:37.536,phase,PHASE_END,9,3,start,,,
136,,2025-04-13T06:50:37.536,phase,PHASE_START,9,3,action,,,
137,,2025-04-13T06:50:37.582,effect,CARD_PLAY,9,3,action,Laboratory,,1
138,,2025-04-13T06:50:37.582,phase,PHASE_END,9,3,action,,,
139,,2025-04-13T06:50:37.582,phase,PHASE_START,9,3,buy,,,
140,,2025-04-13T06:50:37.583,effect,CARD_PLAY,9,3,buy,Copper,,1
141,,2025-04-13T06:50:37.583,effect,CARD_PLAY,9,3,buy,Copper,,1
142,,2025-04-13T06:50:37.583,effect,CARD_PLAY,9,3,buy,Copper,,1
143,,2025-04-13T06:50:37.584,effect,CARD_PLAY,9,3,buy,Copper,,1
144,,2025-04-13T06:50:37.584,effect,CARD_PLAY,9,3,buy,Copper,,1
145,,2025-04-13T06:50:37.584,effect,CARD_BUY,9,3,buy,Laboratory,,1
146,,2025-04-13T06:50:37.584,phase,PHASE_END,9,3,buy,,,
147,,2025-04-13T06:50:37.585,phase,PHASE_START,9,3,cleanup,,,
148,,2025-04-13T06:50:37.585,phase,PHASE_END,9,3,cleanup,,,
149,,2025-04-13T06:50:37.586,turn,TURN_END,9,3,,,,
150,,2025-04-13T06:50:37.586,turn,TURN_START,10,4,,,,
151,,2025-04-13T06:50:37.587,phase,PHASE_START,10,4,start,,,
152,,2025-04-13T06:50:37.587,phase,PHASE_END,10,4,start,,,
153,,2025-04-13T06:50:37.588,phase,PHASE_START,10,4,action,,,
154,,2025-04-13T06:50:37.588,phase,PHASE_END,10,4,action,,,
155,,2025-04-13T06:50:37.588,phase,PHASE_START,10,4,buy,,,
156,,2025-04-13T06:50:37.589,effect,CARD_PLAY,10,4,buy,Copper,,1
157,,2025-04-13T06:50:37.589,effect,CARD_PLAY,10,4,buy,Copper,,1
158,,2025-04-13T06:50:37.59,effect,CARD_PLAY,10,4,buy,Copper,,1
159,,2025-04-13T06:50:37.59,effect,CARD_BUY,10,4,buy,Copper,,1
160,,2025-04-13T06:50:37.591,phase,PHASE_END,10,4,buy,,,
161,,2025-04-13T06:50:37.591,phase,PHASE_START,10,4,cleanup,,,
162,,2025-04-13T06:50:37.592,phase,PHASE_END,10,4,cleanup,,,
163,,2025-04-13T06:50:37.592,turn,TURN_END,10,4,,,,
164,,2025-04-13T06:50:37.593,turn,TURN_START,11,1,,,,
165,,2025-04-13T06:50:37.593,phase,PHASE_START,11,1,start,,,
166,,2025-04-13T06:50:37.594,phase,PHASE_END,11,1,start,,,
167,,2025-04-13T06:50:37.594,phase,PHASE_START,11,1,action,,,
168,,2025-04-13T06:50:37.594,phase,PHASE_END,11,1,action,,,
169,,2025-04-13T06:50:37.595,phase,PHASE_START,11,1,buy,,,
170,,2025-04-13T06:50:37.595,effect,CARD_PLAY,11,1,buy,Copper,,1
171,,2025-04-13T06:50:37.596,effect,CARD_PLAY,11,1,buy,Copper,,1
172,,2025-04-13T06:50:37.596,effect,CARD_PLAY,11,1,buy,Copper,,1
173,,2025-04-13T06:50:37.597,effect,CARD_PLAY,11,1,buy,Copper,,1
174,,2025-04-13T06:50:37.597,effect,CARD_BUY,11,1,buy,Copper,,1
175,,2025-04-13T06:50:37.598,phase,PHASE_END,11,1,buy,,,
176,,2025-04-13T06:50:37.598,phase,PHASE_START,11,1,cleanup,,,
177,,2025-04-13T06:50:37.598,phase,PHASE_END,11,1,cleanup,,,
178,,2025-04-13T06:50:37.599,turn,TURN_END,11,1,,,,
179,,2025-04-13T06:50:37.599,turn,TURN_START,12,2,,,,
180,,2025-04-13T06:50:37.6,phase,PHASE_START,12,2,start,,,
181,,2025-04-13T06:50:37.6,phase,PHASE_END,12,2,start,,,
182,,2025-04-13T06:50:37.601,phase,PHASE_START,12,2,action,,,
183,,2025-04-13T06:50:37.601,effect,CARD_PLAY,12,2,action,Laboratory,,1
184,,2025-04-13T06:50:37.602,phase,PHASE_END,12,2,action,,,
185,,2025-04-13T06:50:37.602,phase,PHASE_START,12,2,buy,,,
186,,2025-04-13T06:50:37.603,effect,CARD_PLAY,12,2,buy,Copper,,1
187,,2025-04-13T06:50:37.603,effect,CARD_PLAY,12,2,buy,Copper,,1
188,,2025-04-13T06:50:37.604,effect,CARD_PLAY,12,2,buy,Copper,,1
189,,2025-04-13T06:50:37.604,effect,CARD_PLAY,12,2,buy,Copper,,1
190,,2025-04-13T06:50:37.605,effect,CARD_BUY,12,2,buy,Copper,,1
191,,2025-04-13T06:50:37.606,phase,PHASE_END,12,2,buy,,,
192,,2025-04-13T06:50:37.606,phase,PHASE_START,12,2,cleanup,,,
193,,2025-04-13T06:50:37.607,phase,PHASE_END,12,2,cleanup,,,
194,,2025-04-13T06:50:37.607,turn,TURN_END,12,2,,,,
195,,2025-04-13T06:50:37.607,turn,TURN_START,13,3,,,,
196,,2025-04-13T06:50:37.608,phase,PHASE_START,13,3,start,,,
197,,2025-04-13T06:50:37.608,phase,PHASE_END,13,3,start,,,
198,,2025-04-13T06:50:37.609,phase,PHASE_START,13,3,action,,,
199,,2025-04-13T06:50:37.609,phase,PHASE_END,13,3,action,,,
200,,2025-04-13T06:50:37.61,phase,PHASE_START,13,3,buy,,,
201,,2025-04-13T06:50:37.61,effect,CARD_PLAY,13,3,buy,Copper,,1
202,,2025-04-13T06:50:37.611,effect,CARD_PLAY,13,3,buy,Copper,,1
203,,2025-04-13T06:50:37.611,effect,CARD_PLAY,13,3,buy,Copper,,1
204,,2025-04-13T06:50:37.612,effect,CARD_BUY,13,3,buy,Copper,,1
205,,2025-04-13T06:50:37.612,phase,PHASE_END,13,3,buy,,,
206,,2025-04-13T06:50:37.613,phase,PHASE_START,13,3,cleanup,,,
207,,2025-04-13T06:50:37.613,phase,PHASE_END,13,3,cleanup,,,
208,,2025-04-13T06:50:37.614,turn,TURN_END,13,3,,,,
209,,2025-04-13T06:50:37.614,turn,TURN_START,14,4,,,,
210,,2025-04-13T06:50:37.614,phase,PHASE_START,14,4,start,,,
211,,2025-04-13T06:50:37.615,phase,PHASE_END,14,4,start,,,
212,,2025-04-13T06:50:37.615,phase,PHASE_START,14,4,action,,,
213,,2025-04-13T06:50:37.615,effect,CARD_PLAY,14,4,action,Laboratory,,1
214,,2025-04-13T06:50:37.616,phase,PHASE_END,14,4,action,,,
215,,2025-04-13T06:50:37.616,phase,PHASE_START,14,4,buy,,,
216,,2025-04-13T06:50:37.617,effect,CARD_PLAY,14,4,buy,Copper,,1
217,,2025-04-13T06:50:37.617,effect,CARD_PLAY,14,4,buy,Copper,,1
218,,2025-04-13T06:50:37.618,effect,CARD_PLAY,14,4,buy,Copper,,1
219,,2025-04-13T06:50:37.618,effect,CARD_PLAY,14,4,buy,Copper,,1
220,,2025-04-13T06:50:37.619,effect,CARD_PLAY,14,4,buy,Copper,,1
221,,2025-04-13T06:50:37.619,effect,CARD_BUY,14,4,buy,Laboratory,,1
222,,2025-04-13T06:50:37.62,phase,PHASE_END,14,4,buy,,,
223,,2025-04-13T06:50:37.62,phase,PHASE_START,14,4,cleanup,,,
224,,2025-04-13T06:50:37.621,phase,PHASE_END,14,4,cleanup,,,
225,,2025-04-13T06:50:37.621,turn,TURN_END,14,4,,,,
