log_id,game_id,timestamp,category,type,turn,player,phase,card_target,card_source,card_count
1,2f73046e-194a-418f-b485-f950e9fe6fe6,2025-04-13T06:50:11.156,game,GAME_START,,,,,,
2,,2025-04-13T06:50:11.917,turn,TURN_START,0,1,,,,
3,,2025-04-13T06:50:11.917,phase,PHASE_START,0,1,start,,,
4,,2025-04-13T06:50:11.918,phase,PHASE_END,0,1,start,,,
5,,2025-04-13T06:50:11.918,phase,PHASE_START,0,1,action,,,
6,,2025-04-13T06:50:11.931,phase,PHASE_END,0,1,action,,,
7,,2025-04-13T06:50:11.932,phase,PHASE_START,0,1,buy,,,
8,,2025-04-13T06:50:11.989,effect,CARD_PLAY,0,1,buy,Copper,,1
9,,2025-04-13T06:50:12.034,effect,CARD_PLAY,0,1,buy,Copper,,1
10,,2025-04-13T06:50:12.034,effect,CARD_PLAY,0,1,buy,Copper,,1
11,,2025-04-13T06:50:12.035,effect,CARD_PLAY,0,1,buy,Copper,,1
12,,2025-04-13T06:50:12.035,effect,CARD_PLAY,0,1,buy,Copper,,1
13,,2025-04-13T06:50:12.181,effect,CARD_BUY,0,1,buy,Laboratory,,1
14,,2025-04-13T06:50:12.222,phase,PHASE_END,0,1,buy,,,
15,,2025-04-13T06:50:12.222,phase,PHASE_START,0,1,cleanup,,,
16,,2025-04-13T06:50:12.223,phase,PHASE_END,0,1,cleanup,,,
17,,2025-04-13T06:50:12.264,turn,TURN_END,0,1,,,,
18,,2025-04-13T06:50:12.264,turn,TURN_START,1,2,,,,
19,,2025-04-13T06:50:12.264,phase,PHASE_START,1,2,start,,,
20,,2025-04-13T06:50:12.265,phase,PHASE_END,1,2,start,,,
21,,2025-04-13T06:50:12.265,phase,PHASE_START,1,2,action,,,
22,,2025-04-13T06:50:12.265,phase,PHASE_END,1,2,action,,,
23,,2025-04-13T06:50:12.265,phase,PHASE_START,1,2,buy,,,
24,,2025-04-13T06:50:12.266,effect,CARD_PLAY,1,2,buy,Copper,,1
25,,2025-04-13T06:50:12.266,effect,CARD_PLAY,1,2,buy,Copper,,1
26,,2025-04-13T06:50:12.267,effect,CARD_PLAY,1,2,buy,Copper,,1
27,,2025-04-13T06:50:12.267,effect,CARD_PLAY,1,2,buy,Copper,,1
28,,2025-04-13T06:50:12.268,effect,CARD_PLAY,1,2,buy,Copper,,1
29,,2025-04-13T06:50:12.268,effect,CARD_BUY,1,2,buy,Laboratory,,1
30,,2025-04-13T06:50:12.269,phase,PHASE_END,1,2,buy,,,
31,,2025-04-13T06:50:12.269,phase,PHASE_START,1,2,cleanup,,,
32,,2025-04-13T06:50:12.27,phase,PHASE_END,1,2,cleanup,,,
33,,2025-04-13T06:50:12.27,turn,TURN_END,1,2,,,,
34,,2025-04-13T06:50:12.271,turn,TURN_START,2,3,,,,
35,,2025-04-13T06:50:12.271,phase,PHASE_START,2,3,start,,,
