log_id,game_id,timestamp,category,type,turn,player,phase,card_target,card_source,card_count
1,a054ac1c-88bc-486d-a355-c53ee065e379,2025-04-13T00:31:20.463,game,GAME_START,,,,,,
2,,2025-04-13T00:31:21.226,turn,TURN_START,0,2,,,,
3,,2025-04-13T00:31:21.226,phase,PHASE_START,0,2,start,,,
4,,2025-04-13T00:31:21.227,phase,PHASE_END,0,2,start,,,
5,,2025-04-13T00:31:21.227,phase,PHASE_START,0,2,action,,,
6,,2025-04-13T00:31:21.243,phase,PHASE_END,0,2,action,,,
7,,2025-04-13T00:31:21.244,phase,PHASE_START,0,2,buy,,,
8,,2025-04-13T00:31:21.299,effect,CARD_PLAY,0,2,buy,Copper,,1
9,,2025-04-13T00:31:21.339,effect,CARD_PLAY,0,2,buy,Copper,,1
10,,2025-04-13T00:31:21.339,effect,CARD_PLAY,0,2,buy,Copper,,1
11,,2025-04-13T00:31:21.339,effect,CARD_PLAY,0,2,buy,Copper,,1
12,,2025-04-13T00:31:21.34,effect,CARD_PLAY,0,2,buy,Copper,,1
13,,2025-04-13T00:31:21.479,effect,CARD_BUY,0,2,buy,Laboratory,,1
14,,2025-04-13T00:31:21.521,phase,PHASE_END,0,2,buy,,,
15,,2025-04-13T00:31:21.521,phase,PHASE_START,0,2,cleanup,,,
16,,2025-04-13T00:31:21.522,phase,PHASE_END,0,2,cleanup,,,
17,,2025-04-13T00:31:21.563,turn,TURN_END,0,2,,,,
18,,2025-04-13T00:31:21.563,turn,TURN_START,1,3,,,,
19,,2025-04-13T00:31:21.563,phase,PHASE_START,1,3,start,,,
20,,2025-04-13T00:31:21.564,phase,PHASE_END,1,3,start,,,
21,,2025-04-13T00:31:21.564,phase,PHASE_START,1,3,action,,,
22,,2025-04-13T00:31:21.565,phase,PHASE_END,1,3,action,,,
23,,2025-04-13T00:31:21.565,phase,PHASE_START,1,3,buy,,,
24,,2025-04-13T00:31:21.565,effect,CARD_PLAY,1,3,buy,Copper,,1
25,,2025-04-13T00:31:21.566,effect,CARD_PLAY,1,3,buy,Copper,,1
26,,2025-04-13T00:31:21.566,effect,CARD_PLAY,1,3,buy,Copper,,1
27,,2025-04-13T00:31:21.567,effect,CARD_PLAY,1,3,buy,Copper,,1
28,,2025-04-13T00:31:21.567,effect,CARD_PLAY,1,3,buy,Copper,,1
29,,2025-04-13T00:31:21.568,effect,CARD_BUY,1,3,buy,Laboratory,,1
30,,2025-04-13T00:31:21.568,phase,PHASE_END,1,3,buy,,,
31,,2025-04-13T00:31:21.569,phase,PHASE_START,1,3,cleanup,,,
32,,2025-04-13T00:31:21.569,phase,PHASE_END,1,3,cleanup,,,
33,,2025-04-13T00:31:21.57,turn,TURN_END,1,3,,,,
34,,2025-04-13T00:31:21.571,turn,TURN_START,2,4,,,,
35,,2025-04-13T00:31:21.572,phase,PHASE_START,2,4,start,,,
36,,2025-04-13T00:31:21.572,phase,PHASE_END,2,4,start,,,
37,,2025-04-13T00:31:21.572,phase,PHASE_START,2,4,action,,,
38,,2025-04-13T00:31:21.573,phase,PHASE_END,2,4,action,,,
39,,2025-04-13T00:31:21.574,phase,PHASE_START,2,4,buy,,,
40,,2025-04-13T00:31:21.574,effect,CARD_PLAY,2,4,buy,Copper,,1
41,,2025-04-13T00:31:21.574,effect,CARD_PLAY,2,4,buy,Copper,,1
42,,2025-04-13T00:31:21.575,effect,CARD_PLAY,2,4,buy,Copper,,1
43,,2025-04-13T00:31:21.575,effect,CARD_PLAY,2,4,buy,Copper,,1
44,,2025-04-13T00:31:21.576,effect,CARD_PLAY,2,4,buy,Copper,,1
45,,2025-04-13T00:31:21.576,effect,CARD_BUY,2,4,buy,Laboratory,,1
46,,2025-04-13T00:31:21.577,phase,PHASE_END,2,4,buy,,,
47,,2025-04-13T00:31:21.577,phase,PHASE_START,2,4,cleanup,,,
48,,2025-04-13T00:31:21.578,phase,PHASE_END,2,4,cleanup,,,
49,,2025-04-13T00:31:21.578,turn,TURN_END,2,4,,,,
50,,2025-04-13T00:31:21.579,turn,TURN_START,3,1,,,,
51,,2025-04-13T00:31:21.579,phase,PHASE_START,3,1,start,,,
52,,2025-04-13T00:31:21.58,phase,PHASE_END,3,1,start,,,
53,,2025-04-13T00:31:21.581,phase,PHASE_START,3,1,action,,,
54,,2025-04-13T00:31:21.584,phase,PHASE_END,3,1,action,,,
55,,2025-04-13T00:31:21.584,phase,PHASE_START,3,1,buy,,,
56,,2025-04-13T00:31:21.584,effect,CARD_PLAY,3,1,buy,Copper,,1
57,,2025-04-13T00:31:21.585,effect,CARD_PLAY,3,1,buy,Copper,,1
58,,2025-04-13T00:31:21.585,effect,CARD_PLAY,3,1,buy,Copper,,1
59,,2025-04-13T00:31:21.585,effect,CARD_PLAY,3,1,buy,Copper,,1
60,,2025-04-13T00:31:21.586,effect,CARD_PLAY,3,1,buy,Copper,,1
61,,2025-04-13T00:31:21.586,effect,CARD_BUY,3,1,buy,Laboratory,,1
62,,2025-04-13T00:31:21.587,phase,PHASE_END,3,1,buy,,,
63,,2025-04-13T00:31:21.587,phase,PHASE_START,3,1,cleanup,,,
64,,2025-04-13T00:31:21.588,phase,PHASE_END,3,1,cleanup,,,
65,,2025-04-13T00:31:21.588,turn,TURN_END,3,1,,,,
66,,2025-04-13T00:31:21.589,turn,TURN_START,4,2,,,,
67,,2025-04-13T00:31:21.589,phase,PHASE_START,4,2,start,,,
68,,2025-04-13T00:31:21.589,phase,PHASE_END,4,2,start,,,
69,,2025-04-13T00:31:21.59,phase,PHASE_START,4,2,action,,,
70,,2025-04-13T00:31:21.59,phase,PHASE_END,4,2,action,,,
71,,2025-04-13T00:31:21.591,phase,PHASE_START,4,2,buy,,,
72,,2025-04-13T00:31:21.591,effect,CARD_PLAY,4,2,buy,Copper,,1
73,,2025-04-13T00:31:21.635,effect,CARD_PLAY,4,2,buy,Copper,,1
